,idProd
1312,25657389
1313,25657472
1314,25657346
1315,25657339
1316,25657467
1317,31606836
1318,31606792
1319,31606790
1320,31606940
1321,31606927
1322,31606885
1323,30993718
1324,30993689
1325,30993613
1326,33131955
1327,33132190
1328,33132097
1329,33131887
1330,33131876
1331,22677349
1332,22677118
1333,22677119
1334,22676774
1335,22677243
1336,22677207
1337,22677468
1338,24812632
1339,24812623
1340,24812587
1341,25837665
1342,25837678
1343,25837675
1344,25837693
1345,25837660
1346,25837701
1347,25837752
1348,25837757
1349,25837795
1350,25837720
1351,25837800
1352,25837818
1353,25837649
1354,25837707
1355,25837648
1356,25837814
1357,25837826
1358,25837825
1359,25837694
1360,25837813
1361,25837702
1362,25837697
1363,25837712
1364,25837699
1365,25837750
1366,25837759
1367,25837747
1368,32514919
1369,32514913
1370,32514911
1371,32514908
1372,32514902
1373,32514903
1374,32514899
1375,32514881
1376,32514869
1377,32514868
1378,32514866
1379,32514857
1380,32514856
1381,32514920
1382,32514922
1383,32514847
1384,32514921
1385,32515012
1386,32515008
1387,32515006
1388,32515004
1389,32514997
1390,32514951
1391,32515002
1392,32514949
1393,32515014
1394,32514910
1395,32514924
1396,32514923
1397,27403337
1398,28470502
1399,28470499
1400,28470492
1401,28470504
1402,28470485
1403,28470483
1404,28470478
1405,28470620
1406,28470618
1407,28470612
1408,28470611
1409,28470605
1410,28470602
1411,28470601
1412,28470585
1413,28470581
1414,28470580
1415,28470587
1416,28470573
1417,28470603
1418,28470528
1419,28470526
1420,28470619
1421,28470874
1422,28470744
1423,28470650
1424,28470737
1425,28470733
1426,28470634
1427,28470824
1428,28470814
1429,28470623
1430,28470668
1431,28470667
1432,28470713
1433,28470815
1434,28470727
1435,28470722
1436,28470728
1437,28470635
1438,28470745
1439,28470746
1440,28470630
1441,28470629
1442,28470637
1443,28470883
1444,28470628
1445,28539530
1446,28539274
1447,28539268
1448,28539508
1449,28539504
1450,28539264
1451,28539500
1452,28539490
1453,28539488
1454,28539475
1455,28539470
1456,28539467
1457,28539452
1458,28539451
1459,28539400
1460,28539393
1461,28539388
1462,28539384
1463,28539383
1464,28539374
1465,28539369
1466,28539367
1467,28539361
1468,28539354
1469,28539341
